# t(s)	scanN	front_min(m)	all_min(m)	raw254	raw253	odom_x	odom_y
 149	  9	   0.754	     nan	 593	5091	   0.000	   0.000
 150	 10	   0.738	     nan	 576	5110	   0.000	   0.000
 151	 10	   0.746	     nan	 585	5111	   0.000	   0.000
 152	 10	   0.738	     nan	 593	5193	   0.000	   0.000
 153	 10	   0.762	     nan	 589	5140	   0.000	   0.000
 154	 10	   0.746	     nan	 586	5202	   0.000	   0.000
 155	 10	   0.722	     nan	 566	5131	   0.000	   0.000
 156	 10	   0.746	     nan	 609	5446	   0.000	   0.000
 157	 10	   0.738	     nan	 561	5273	   0.000	   0.000
 158	 10	   0.734	     nan	 552	5016	   0.000	   0.000
 159	 10	   0.722	     nan	 555	5054	   0.000	   0.000
 160	  9	   0.736	     nan	 548	4992	   0.000	   0.000
 161	 10	   0.776	     nan	 557	5059	   0.000	   0.000
 162	 10	   0.744	     nan	 545	5142	   0.000	   0.000
 163	 10	   0.760	     nan	 561	5272	   0.000	   0.000
 164	 10	   0.776	     nan	 561	5241	   0.000	   0.000
 165	 10	   0.752	     nan	 572	5276	   0.000	   0.000
 166	 10	   0.748	     nan	 572	5303	   0.000	   0.000
 167	 10	   0.720	     nan	 581	5474	   0.000	   0.000
 168	 10	   0.704	     nan	 571	5207	   0.000	   0.000
 169	 10	   0.756	     nan	 585	5269	   0.000	   0.000
 170	 10	   0.736	     nan	 586	5170	   0.000	   0.000
 171	 10	   0.776	     nan	 587	5177	   0.000	   0.000
 172	  9	   0.748	     nan	 587	5183	   0.000	   0.000
 173	 10	   0.756	     nan	 591	5147	   0.000	   0.000
 174	 10	   0.752	     nan	 587	5189	   0.000	   0.000
 175	 10	   0.724	     nan	 595	5215	   0.000	   0.000
 176	 10	   0.752	     nan	 616	5247	   0.000	   0.000
 177	 10	   0.704	     nan	 587	5254	   0.000	   0.000
 178	 10	   0.514	     nan	 576	5265	   0.000	   0.000
 179	 10	   0.774	     nan	 580	5095	   0.000	   0.000
 180	 10	   0.750	     nan	 567	5067	   0.000	   0.000
 181	 10	   0.734	     nan	 545	4759	   0.000	   0.000
 182	 10	   0.754	     nan	 556	4763	   0.000	   0.000
 183	 10	   0.738	     nan	 543	4786	   0.000	   0.000
 184	  9	   0.742	     nan	 554	4851	   0.000	   0.000
 185	 10	   0.754	     nan	 586	5240	   0.000	   0.000
 186	 10	   0.502	     nan	 598	5388	   0.000	   0.000
 187	 10	   0.750	     nan	 563	5033	   0.000	   0.000
 188	 10	   0.754	     nan	 558	5006	   0.000	   0.000
 189	 10	   0.738	     nan	 571	5063	   0.000	   0.000
 190	 10	   0.750	     nan	 573	5260	   0.000	   0.000
 191	 10	   0.754	     nan	 583	5159	   0.000	   0.000
 192	 10	   0.742	     nan	 588	5090	   0.000	   0.000
 193	 10	   0.742	     nan	 570	5086	   0.000	   0.000
 194	 10	   0.734	     nan	 550	4951	   0.000	   0.000
 195	  9	   0.742	     nan	 554	4915	   0.000	   0.000
 196	 10	   0.748	     nan	 548	4802	   0.000	   0.000
 197	 10	   0.772	     nan	 546	4772	   0.000	   0.000
 198	 10	   0.752	     nan	 557	4980	   0.000	   0.000
 199	 10	   0.752	     nan	 560	5022	   0.000	   0.000
 200	 10	   0.740	     nan	 577	5060	   0.000	   0.000
 201	 10	   0.732	     nan	 566	4921	   0.000	   0.000
 202	 10	   0.732	     nan	 563	4914	   0.000	   0.000
 203	 10	   0.732	     nan	 572	4971	   0.000	   0.000
 204	 10	   0.748	     nan	 580	4959	   0.000	   0.000
 205	 10	   0.772	     nan	 566	4958	   0.000	   0.000
 206	 10	   0.732	     nan	 575	4921	   0.000	   0.000
 207	  9	   0.748	     nan	 573	4947	   0.000	   0.000
 208	 10	   0.744	     nan	 569	4962	   0.000	   0.000
 209	 10	   0.716	     nan	 572	4936	   0.000	   0.000
 210	 10	   0.744	     nan	 570	4940	   0.000	   0.000
 211	 10	   0.716	     nan	 591	4996	   0.000	   0.000
 212	 10	   0.736	     nan	 576	4987	   0.000	   0.000
 213	 10	   0.748	     nan	 578	4962	   0.000	   0.000
 214	 10	   0.748	     nan	 573	4982	   0.000	   0.000
 215	 10	   0.748	     nan	 580	4982	   0.000	   0.000
 216	 10	   0.740	     nan	 584	4989	   0.000	   0.000
 217	  9	   0.740	     nan	 586	5013	   0.000	   0.000
 218	 11	   0.772	     nan	 582	5014	   0.000	   0.000
 219	  9	   0.700	     nan	 627	5088	   0.000	   0.000
 220	 10	   0.748	     nan	 568	5032	   0.000	   0.000
 221	 10	   0.502	     nan	 565	5072	   0.000	   0.000
 222	 10	   0.748	     nan	 559	5020	   0.000	   0.000
 223	 10	   0.746	     nan	 549	4807	   0.000	   0.000
 224	 10	   0.740	     nan	 554	4808	   0.000	   0.000
 225	 10	   0.746	     nan	 550	4812	   0.000	   0.000
 226	 10	   0.754	     nan	 585	5089	   0.000	   0.000
 227	 10	   0.770	     nan	 616	5183	   0.000	   0.000
 228	 10	   0.770	     nan	 661	5304	   0.000	   0.000
 229	 10	   0.502	     nan	 680	5662	   0.000	   0.000
 230	  9	   0.502	     nan	 667	5429	   0.000	   0.000
 231	 10	   0.758	     nan	 649	5467	   0.000	   0.000
 232	 10	   0.770	     nan	 675	5687	   0.000	   0.000
 233	 10	   0.730	     nan	 666	5542	   0.000	   0.000
 234	 10	   0.770	     nan	 672	5553	   0.000	   0.000
 235	 10	   0.734	     nan	 666	5573	   0.000	   0.000
 236	 10	   0.738	     nan	 659	5615	   0.000	   0.000
 237	 10	   0.542	     nan	 674	5496	   0.000	   0.000
 238	 10	   0.514	     nan	 667	5584	   0.000	   0.000
 239	 10	   0.628	     nan	 658	5466	   0.000	   0.000
 240	 10	   0.500	     nan	 594	5112	   0.000	   0.000
 241	 10	   0.748	     nan	 564	5187	   0.000	   0.000
 242	  9	   0.748	     nan	 566	4986	   0.000	   0.000
 243	 10	   0.768	     nan	 592	5072	   0.000	   0.000
 244	 10	   0.744	     nan	 579	5062	   0.000	   0.000
 245	 10	   0.744	     nan	 569	5173	   0.000	   0.000
 246	 10	   0.752	     nan	 577	4982	   0.000	   0.000
 247	 10	   0.500	     nan	 568	4978	   0.000	   0.000
 248	 10	   0.768	     nan	 560	5036	   0.000	   0.000
 249	 10	   0.768	     nan	 596	5213	   0.000	   0.000
 250	 10	   0.740	     nan	 631	5273	   0.000	   0.000
 251	 10	   0.768	     nan	 595	5227	   0.000	   0.000
 252	 10	   0.768	     nan	 592	5231	   0.000	   0.000
 253	 10	   0.748	     nan	 613	5259	   0.000	   0.000
 254	  9	   0.768	     nan	 604	5244	   0.000	   0.000
 255	 10	   0.728	     nan	 621	5261	   0.000	   0.000
